level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	3	3	2	1	60	391	119	13	90.611145	client@example.net
2	1	4	0	0	0	59	431	187	89	-1	
3	1	4	1	0	0	59	431	94	28	-1	
4	1	4	1	1	0	59	431	82	9	-1	
5	1	4	1	1	1	59	431	58	9	79.413681	SHIPPING
5	1	4	1	1	2	121	431	20	9	90.668823	TO:
4	1	4	1	2	0	59	449	94	10	-1	
5	1	4	1	2	1	59	449	27	10	96.525223	John
5	1	4	1	2	2	91	450	23	9	93.234062	Doe
5	1	4	1	2	3	118	449	35	10	93.324516	Office
3	1	4	2	0	0	60	468	86	10	-1	
4	1	4	2	1	0	60	468	86	10	-1	
5	1	4	2	1	1	60	468	34	10	96.843086	Office
5	1	4	2	1	2	99	468	29	10	95.470245	Road
5	1	4	2	1	3	132	469	14	9	80.766754	38
3	1	4	3	0	0	60	489	186	31	-1	
4	1	4	3	1	0	60	489	186	11	-1	
5	1	4	3	1	1	60	489	10	9	50.128181	P:
5	1	4	3	1	2	75	489	78	11	50.128181	111-333-222,
5	1	4	3	1	3	158	489	5	9	90.057304	F:
5	1	4	3	1	4	172	489	74	9	75.933296	122-222-834
4	1	4	3	2	0	60	507	120	13	-1	
5	1	4	3	2	1	60	507	120	13	60.302185	office@example.net
2	1	5	0	0	0	656	41	119	11	-1	
3	1	5	1	0	0	656	41	119	11	-1	
4	1	5	1	1	0	656	41	119	11	-1	
5	1	5	1	1	1	656	41	119	11	73.776947	http://mrsinvoice.com
2	1	6	0	0	0	680	64	67	54	-1	
3	1	6	1	0	0	680	64	67	54	-1	
4	1	6	1	1	0	680	64	67	54	-1	
5	1	6	1	1	1	680	64	67	54	95.000000	 
2	1	7	0	0	0	343	316	434	3	-1	
3	1	7	1	0	0	343	316	434	3	-1	
4	1	7	1	1	0	343	316	434	3	-1	
5	1	7	1	1	1	343	316	434	3	95.000000	 
2	1	8	0	0	0	343	344	434	3	-1	
3	1	8	1	0	0	343	344	434	3	-1	
4	1	8	1	1	0	343	344	434	3	-1	
5	1	8	1	1	1	343	344	434	3	95.000000	 
2	1	9	0	0	0	343	373	434	3	-1	
3	1	9	1	0	0	343	373	434	3	-1	
4	1	9	1	1	0	343	373	434	3	-1	
5	1	9	1	1	1	343	373	434	3	95.000000	 
2	1	10	0	0	0	343	401	434	3	-1	
3	1	10	1	0	0	343	401	434	3	-1	
4	1	10	1	1	0	343	401	434	3	-1	
5	1	10	1	1	1	343	401	434	3	95.000000	 
2	1	11	0	0	0	409	327	296	94	-1	
3	1	11	1	0	0	413	327	290	69	-1	
4	1	11	1	1	0	427	327	259	9	-1	
5	1	11	1	1	1	427	327	41	9	92.041389	Invoice
5	1	11	1	1	2	472	327	7	9	92.041389	#
5	1	11	1	1	3	650	327	36	9	90.863136	00001
4	1	11	1	2	0	416	353	287	13	-1	
5	1	11	1	2	1	416	355	41	9	96.418549	Invoice
5	1	11	1	2	2	462	355	27	9	90.641869	Date
5	1	11	1	2	3	634	353	69	13	89.833862	12/12/2001
4	1	11	1	3	0	413	383	267	13	-1	
5	1	11	1	3	1	413	384	34	9	94.733139	Name
5	1	11	1	3	2	451	383	12	10	96.887474	of
5	1	11	1	3	3	467	384	25	12	96.062866	Rep.
5	1	11	1	3	4	658	383	22	10	95.160202	Bob
3	1	11	2	0	0	409	411	296	10	-1	
4	1	11	2	1	0	409	411	296	10	-1	
5	1	11	2	1	1	409	412	46	9	96.296928	Contact
5	1	11	2	1	2	459	411	36	10	96.199905	Phone
5	1	11	2	1	3	631	412	74	9	71.097733	101-102-103
2	1	12	0	0	0	343	430	434	3	-1	
3	1	12	1	0	0	343	430	434	3	-1	
4	1	12	1	1	0	343	430	434	3	-1	
5	1	12	1	1	1	343	430	434	3	95.000000	 
2	1	13	0	0	0	407	441	91	12	-1	
3	1	13	1	0	0	407	441	91	12	-1	
4	1	13	1	1	0	407	441	91	12	-1	
5	1	13	1	1	1	407	441	51	12	96.499329	Payment
5	1	13	1	1	2	462	441	36	9	96.730164	Terms
2	1	14	0	0	0	343	317	1	143	-1	
3	1	14	1	0	0	343	317	1	143	-1	
4	1	14	1	1	0	343	317	1	143	-1	
5	1	14	1	1	1	343	317	1	143	95.000000	 
2	1	15	0	0	0	559	317	1	143	-1	
3	1	15	1	0	0	559	317	1	143	-1	
4	1	15	1	1	0	559	317	1	143	-1	
5	1	15	1	1	1	559	317	1	143	95.000000	 
2	1	16	0	0	0	619	440	99	13	-1	
3	1	16	1	0	0	619	440	99	13	-1	
4	1	16	1	1	0	619	440	99	13	-1	
5	1	16	1	1	1	619	440	27	10	93.340462	Cash
5	1	16	1	1	2	651	443	14	7	92.446030	on
5	1	16	1	1	3	670	440	48	13	92.446030	Delivery
2	1	17	0	0	0	343	458	434	3	-1	
3	1	17	1	0	0	343	458	434	3	-1	
4	1	17	1	1	0	343	458	434	3	-1	
5	1	17	1	1	1	343	458	434	3	95.000000	 
2	1	18	0	0	0	470	483	179	18	-1	
3	1	18	1	0	0	470	483	179	18	-1	
4	1	18	1	1	0	470	483	179	18	-1	
5	1	18	1	1	1	470	485	70	13	96.675339	Amount
5	1	18	1	1	2	547	485	37	13	96.707008	Due:
5	1	18	1	1	3	591	483	58	18	96.797050	$4,170
2	1	19	0	0	0	59	618	712	3	-1	
3	1	19	1	0	0	59	618	712	3	-1	
4	1	19	1	1	0	59	618	712	3	-1	
5	1	19	1	1	1	59	618	712	3	95.000000	 
2	1	20	0	0	0	59	654	712	3	-1	
3	1	20	1	0	0	59	654	712	3	-1	
4	1	20	1	1	0	59	654	712	3	-1	
5	1	20	1	1	1	59	654	712	3	95.000000	 
2	1	21	0	0	0	96	655	1	106	-1	
3	1	21	1	0	0	96	655	1	106	-1	
4	1	21	1	1	0	96	655	1	106	-1	
5	1	21	1	1	1	96	655	1	106	95.000000	 
2	1	22	0	0	0	59	759	712	3	-1	
3	1	22	1	0	0	59	759	712	3	-1	
4	1	22	1	1	0	59	759	712	3	-1	
5	1	22	1	1	1	59	759	712	3	95.000000	 
2	1	23	0	0	0	66	622	698	210	-1	
3	1	23	1	0	0	71	622	693	29	-1	
4	1	23	1	1	0	71	622	693	13	-1	
5	1	23	1	1	1	71	624	18	9	38.053547	NO
5	1	23	1	1	2	105	622	125	13	79.318390	PRODUCTS
5	1	23	1	1	3	171	618	6	24	92.851585	/
5	1	23	1	1	4	185	622	45	13	96.951775	SERVICE
5	1	23	1	1	5	483	622	71	13	74.944214	QUANTITY
5	1	23	1	1	6	551	618	6	24	66.449326	/
5	1	23	1	1	7	577	622	72	13	42.136215	RATE
5	1	23	1	1	8	609	618	6	24	42.136215	/
5	1	23	1	1	9	621	622	28	13	93.665565	UNIT
5	1	23	1	1	10	707	624	57	9	94.160339	AMOUNT
4	1	23	1	2	0	512	631	136	30	-1	
5	1	23	1	2	1	512	631	46	30	55.456856	HOURS:
5	1	23	1	2	2	615	642	33	9	95.494675	PRICE
3	1	23	2	0	0	67	662	697	14	-1	
4	1	23	2	1	0	67	662	697	14	-1	
5	1	23	2	1	1	67	664	6	9	63.525349	1
5	1	23	2	1	2	104	664	26	12	27.750137	tye
5	1	23	2	1	3	547	664	7	9	22.982323	B
5	1	23	2	1	4	627	662	22	13	89.962967	$20
5	1	23	2	1	5	742	662	22	13	96.163712	$40
3	1	23	3	0	0	67	688	697	14	-1	
4	1	23	3	1	0	67	688	697	14	-1	
5	1	23	3	1	1	67	690	6	9	18.336189	2__
5	1	23	3	1	2	90	679	8	30	42.017319	|
5	1	23	3	1	3	104	690	49	12	86.765106	Steering
5	1	23	3	1	4	157	689	38	10	76.727142	Wheel
5	1	23	3	1	5	547	690	7	9	55.777809	5
5	1	23	3	1	6	627	688	21	13	96.366821	$10
5	1	23	3	1	7	742	688	22	13	92.589958	$50
3	1	23	4	0	0	67	714	697	14	-1	
4	1	23	4	1	0	67	714	697	14	-1	
5	1	23	4	1	1	67	716	6	9	46.792725	3
5	1	23	4	1	2	93	705	5	30	67.273758	|
5	1	23	4	1	3	105	716	39	12	95.723083	Engine
5	1	23	4	1	4	148	715	15	10	74.002914	oll
5	1	23	4	1	5	540	716	14	9	89.562584	10
5	1	23	4	1	6	627	714	21	13	94.842155	$15
5	1	23	4	1	7	734	714	30	13	91.958618	$150
3	1	23	5	0	0	66	740	697	13	-1	
4	1	23	5	1	0	66	740	697	13	-1	
5	1	23	5	1	1	66	742	7	9	61.210400	4
5	1	23	5	1	2	89	731	8	30	62.572536	|
5	1	23	5	1	3	105	741	33	10	96.267250	Brake
5	1	23	5	1	4	142	741	21	10	79.148979	Pad
5	1	23	5	1	5	540	742	14	9	90.655479	24
5	1	23	5	1	6	612	740	36	13	95.784668	$1000
5	1	23	5	1	7	724	740	39	13	96.173477	$2,400
3	1	23	6	0	0	599	758	164	30	-1	
4	1	23	6	1	0	599	758	164	30	-1	
5	1	23	6	1	1	599	758	49	30	96.787506	Subtotal
5	1	23	6	1	2	735	767	28	13	89.602676	$275
3	1	23	7	0	0	590	793	173	14	-1	
4	1	23	7	1	0	590	793	173	14	-1	
5	1	23	7	1	1	590	795	21	9	78.003220	Tax
5	1	23	7	1	2	615	794	33	13	96.779167	(10%)
5	1	23	7	1	3	731	793	32	13	77.873070	$27.5
3	1	23	8	0	0	579	819	184	13	-1	
4	1	23	8	1	0	579	819	184	13	-1	
5	1	23	8	1	1	579	820	35	10	96.498993	Grand
5	1	23	8	1	2	618	820	30	10	96.762390	Total
5	1	23	8	1	3	723	819	40	13	80.652031	$202.5
2	1	24	0	0	0	316	1076	203	9	-1	
3	1	24	1	0	0	316	1076	203	9	-1	
4	1	24	1	1	0	316	1076	203	9	-1	
5	1	24	1	1	1	316	1076	44	9	77.208710	‘THANK
5	1	24	1	1	2	363	1076	26	9	96.325073	YOU
5	1	24	1	1	3	394	1076	24	9	96.102798	FOR
5	1	24	1	1	4	422	1076	35	9	96.102798	YOUR
5	1	24	1	1	5	461	1076	58	9	96.231995	BUSINESS
2	1	25	0	0	0	776	317	1	143	-1	
3	1	25	1	0	0	776	317	1	143	-1	
4	1	25	1	1	0	776	317	1	143	-1	
5	1	25	1	1	1	776	317	1	143	95.000000	 
